MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
A1PHT07_CL1_SH1,ARRAY,,BA1PHT03,A1PHT07_CL1,Shuttle(2-14)
C1CCL01,CELL,GC1INS01,BC1PIL01,,Casstte Cleaner 1#
C1ODF03_VA1,CELL,,BC1ODF01,C1ODF03,"VAS#1,2"
C1CCL01_CC1,CELL,,BC1PIL01,C1CCL01,Casstte Cleaner Machine
A1PHT07_CT1_LA1,ARRAY,,BA1PHT03,A1PHT07_CT1,Glass out
C1CCL01_CC1_CL1,CELL,,BC1PIL01,C1CCL01_CC1,Cleaner #1
A1PHT07_CT1_UA1,ARRAY,,BA1PHT03,A1PHT07_CT1,Glass in(SSDPER)
C1CCL01_CC1_CL2,CELL,,BC1PIL01,C1CCL01_CC1,Cleaner #2
C1ODF03_LD1,CELL,Y,BC1ODF01,C1ODF03,TFT Loader
A1ANN01_OV1,ARRAY,,BA1INS04,A1ANN01,Index/OVEN
A1ANN01_OV1_BF1,ARRAY,,BA1INS04,A1ANN01_OV1,Cool Buffer 1#
A1PHT07_CT1_OV1,ARRAY,,BA1PHT03,A1PHT07_CT1,AHP(3-2)
A1PHT07_CT1_OV2,ARRAY,,BA1PHT03,A1PHT07_CT1,AHP(3-3)
A1RSM01,ARRAY,GA1INS01,BA1INS03,,电阻测量1#
A1RSM01_LD1,ARRAY,,BA1INS03,A1RSM01, Index
A1RSM01_RS1,ARRAY,,BA1INS03,A1RSM01,表面电阻测量仪
F1THK01,CF,GF1INS01,BF1INS01,,膜厚检测设备 1#
F1THK01_LD1,CF,,BF1INS01,F1THK01,膜厚检测设备 1#Index
F1THK01_TH1,CF,,BF1INS01,F1THK01,膜厚检测设备 1#Thickness
A1MCR01,ARRAY,GA1INS01,BA1INS03,,宏观+微观检测1#
A1MCR01_LD1,ARRAY,,BA1INS03,A1MCR01,Index
A1MCR01_MM1,ARRAY,,BA1INS03,A1MCR01,MCR检测设备
A1MCR01_LD1_RT1,ARRAY,,BA1INS03,A1MCR01_LD1,机械手
A1MCR01_MM1_MI1,ARRAY,,BA1INS03,A1MCR01_MM1,宏观检测
A1MCR01_MM1_MA1,ARRAY,,BA1INS03,A1MCR01_MM1,微观检测
A1THK01,ARRAY,GA1INS01,BA1INS03,,膜厚仪1#
A1THK01_LD1,ARRAY,,BA1INS03,A1THK01, Index
A1THK01_LD1_RT1,ARRAY,,BA1INS03,A1THK01_LD1,index robot机械手
A1CVD01,ARRAY,GA1CVD01,BA1CVD01,,CVD 成膜设备1#
